"goal","dimension","region_id","score"
"LSP","trend",8,0
"LSP","trend",9,0
"LSP","trend",10,0
"LSP","trend",11,0
"LSP","trend",12,0
"MAR","future",0,26.72
"MAR","future",1,23.75
"MAR","future",2,31.64
"MAR","future",3,20.21
"MAR","future",4,84.31
"MAR","future",5,19.15
"MAR","future",6,11.71
"MAR","future",7,12.24
"MAR","future",8,4.85
"MAR","future",9,1.07
"MAR","future",10,9.66
"MAR","future",11,31.88
"MAR","future",12,25.05
"MAR","pressures",1,35.05
"MAR","pressures",2,35.05
"MAR","pressures",3,35.05
"MAR","pressures",4,35.05
"MAR","pressures",5,35.05
"MAR","pressures",6,35.05
"MAR","pressures",7,35.05
"MAR","pressures",8,35.05
"MAR","pressures",9,35.05
"MAR","pressures",10,35.05
"MAR","pressures",11,35.05
"MAR","pressures",12,35.05
"MAR","resilience",1,55.62
"MAR","resilience",2,55.62
"MAR","resilience",3,55.62
"MAR","resilience",4,55.62
"MAR","resilience",5,55.62
"MAR","resilience",6,55.62
"MAR","resilience",7,55.62
"MAR","resilience",8,55.62
"MAR","resilience",9,55.62
"MAR","resilience",10,55.62
"MAR","resilience",11,55.62
"MAR","resilience",12,55.62
"MAR","score",0,29.31
"MAR","score",1,26.36
"MAR","score",2,39.58
"MAR","score",3,21.59
"MAR","score",4,85.43
"MAR","score",5,20.21
"MAR","score",6,11.9
"MAR","score",7,12.49
"MAR","score",8,4.77
"MAR","score",9,1.04
"MAR","score",10,9.72
"MAR","score",11,38.95
"MAR","score",12,29.3
"MAR","status",0,31.9
"MAR","status",1,28.97
"MAR","status",2,47.52
"MAR","status",3,22.96
"MAR","status",4,86.55
"MAR","status",5,21.27
"MAR","status",6,12.1
"MAR","status",7,12.74
"MAR","status",8,4.69
"MAR","status",9,1.01
"MAR","status",10,9.78
"MAR","status",11,46.02
"MAR","status",12,33.56
"MAR","trend",1,-0.37
"MAR","trend",2,-0.6
"MAR","trend",3,-0.28
"MAR","trend",4,-0.14
"MAR","trend",5,-0.25
"MAR","trend",6,-0.15
"MAR","trend",7,-0.16
"MAR","trend",8,-0.05
"MAR","trend",9,-0.01
"MAR","trend",10,-0.12
"MAR","trend",11,-0.56
"MAR","trend",12,-0.48
"NP","future",0,31.84
